22
picturesimilarity
11/13/2018	12:31:32 PM

Participant	Participant	Session	Block	Trial	Event	Participant		Correct	Error	Reaction
Group	Name	ID	Name	Name	Name	Response	Key	Response	Code	Time	Trial Answered
Main Group	22	22	ratings	Ratings, 513	Image 1 (40, fireCRaCker_bRIDgE.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 513	Image 2 (6, fUTure_data.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 513	rating scale	5	5	1; 2; 3; 4; 5; 6; 7	C	2755	
Main Group	22	22	ratings	Ratings, 103	Image 1 (8, feature_dog.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 103	Image 2 (12, TAMe_ClASSY.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 103	rating scale	6	6	1; 2; 3; 4; 5; 6; 7	C	2556	
Main Group	22	22	ratings	Ratings, 47	Image 1 (4, boundary_head.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 47	Image 2 (8, PAinstAkINg_Thought.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 47	rating scale	6	6	1; 2; 3; 4; 5; 6; 7	C	1678	
Main Group	22	22	ratings	Ratings, 440	Image 1 (34, TRANSpoRt_orgANIC.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 440	Image 2 (11, rOSe_ENdUrabLE.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 440	rating scale	1	1	1; 2; 3; 4; 5; 6; 7	C	1564	
Main Group	22	22	ratings	Ratings, 524	Image 1 (41, fUTure_data.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 524	Image 2 (4, EaST_faMily.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 524	rating scale	6	6	1; 2; 3; 4; 5; 6; 7	C	1442	
Main Group	22	22	ratings	Ratings, 368	Image 1 (29, structure_mention.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 368	Image 2 (4, EaST_faMily.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 368	rating scale	1	1	1; 2; 3; 4; 5; 6; 7	C	1581	
Main Group	22	22	ratings	Ratings, 67	Image 1 (6, crowd_eat.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 67	Image 2 (2, bOunDaRY_sTRanGer.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 67	rating scale	5	5	1; 2; 3; 4; 5; 6; 7	C	3032	
Main Group	22	22	ratings	Ratings, 296	Image 1 (23, serve_battlefield.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 296	Image 2 (10, REqUEst_ReCoGNise.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 296	rating scale	5	5	1; 2; 3; 4; 5; 6; 7	C	2016	
Main Group	22	22	ratings	Ratings, 381	Image 1 (30, tape_drop.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 381	Image 2 (4, EaST_faMily.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 381	rating scale	5	5	1; 2; 3; 4; 5; 6; 7	C	1882	
Main Group	22	22	ratings	Ratings, 1	Image 1 (1, abject_urge.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 1	Image 2 (1, bLAND_bLACk.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 1	rating scale	5	5	1; 2; 3; 4; 5; 6; 7	C	2495	
Main Group	22	22	ratings	Ratings, 480	Image 1 (37, bOunDaRY_sTRanGer.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 480	Image 2 (12, TAMe_ClASSY.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 480	rating scale	5	5	1; 2; 3; 4; 5; 6; 7	C	1370	
Main Group	22	22	ratings	Ratings, 74	Image 1 (6, crowd_eat.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 74	Image 2 (9, PoiSOnouS_aBsUrdLy.jpg)			(any response)	NR	0	
Main Group	22	22	ratings	Ratings, 74	rating scale	4	4	1; 2; 3; 4; 5; 6; 7	C	2108	
Main Group	22	22	ratings	Ratings, 419	Image 1 (33, trait_basket.jpg)			(any response)	NR	0	
